2021-05-22 13:36:17 - PHP Notice:  Undefined index: gallery in C:\wamp64\www\opencart\admin\model\catalog\tvcmsblog.php on line 124
2021-05-22 13:36:17 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\opencart\admin\model\catalog\tvcmsblog.php on line 124
2021-05-22 15:30:43 - PHP Notice:  Undefined index: gallery in C:\wamp64\www\opencart\admin\model\catalog\tvcmsblog.php on line 124
2021-05-22 15:30:43 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\opencart\admin\model\catalog\tvcmsblog.php on line 124
2021-05-22 16:53:00 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2021-05-22 16:53:34 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2021-05-22 16:53:36 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2021-05-22 16:54:32 - PHP Warning:  unlink(C:/wamp64/www/opencart/system/storage/cache/cache.catalog.language.1621706072): No such file or directory in C:\wamp64\www\opencart\system\library\cache\file.php on line 68
2021-05-22 17:08:59 - PHP Notice:  Trying to get property 'status' of non-object in C:\wamp64\www\opencart\catalog\controller\extension\payment\g2apay.php on line 108
2021-05-22 17:09:43 - PHP Warning:  unlink(C:/wamp64/www/opencart/system/storage/cache/cache.catalog.language.1621706983): No such file or directory in C:\wamp64\www\opencart\system\library\cache\file.php on line 68
2021-05-23 10:29:51 - PHP Notice:  Trying to get property 'status' of non-object in C:\wamp64\www\opencart\catalog\controller\extension\payment\g2apay.php on line 108
2021-05-23 10:29:58 - PHP Warning:  unlink(C:/wamp64/www/opencart/system/storage/cache/cache.catalog.language.1621769398): No such file or directory in C:\wamp64\www\opencart\system\library\cache\file.php on line 68
